14:01:45.528 0 mac_common.c:173	<< zb_parse_mhr, ret val 7
14:01:45.528 0 mac.c:390	frame_control 0:80, seq_number 57, dst_pan_id 0x0, src_pan_id 0x1b39 dst mode 0 addr 0.0.0.0.0.0.0.0 src mode 2 addr 0.0.0.0.0.0.0.0
14:01:45.528 0 mac.c:395	set mac rx , frm 0 len 37
14:01:45.528 0 mac.c:239	<<can_accept_fr, ret 1
14:01:45.528 0 mac.c:437	BEACON frame
14:01:45.528 0 zb_scheduler.c:254	0x5587c8fdb560 scheduled cb 0x5587c8db893c param 4 (in_b 1)
14:01:45.528 0 mac.c:471	beacon found!
14:01:45.528 0 mac.c:498	<<mac_parse_recv_data 0
14:01:45.528 0 mac.c:205	<<zb_mac_recv_data
14:01:45.528 0 zb_scheduler.c:105	cb_q written 1, read_i 4, write_i 5
14:01:45.528 0 zb_scheduler.c:115	0x5587c8fdb560 calling cb 0x5587c8db893c param 4 in_b 1 len 37
14:01:45.528 0 nwk_discovery.c:151	>>zb_mlme_beacon_notify_indication 4
14:01:45.528 0 mac_common.c:79	>>zb_parse_mhr mhr 0x7fffec5af1e0, ptr 0x5587c8fdbd94
14:01:45.528 0 mac_common.c:89	dst addr mode: 0
14:01:45.528 0 mac_common.c:108	src addr mode: 2
14:01:45.528 0 mac_common.c:173	<< zb_parse_mhr, ret val 7
14:01:45.528 0 nwk_discovery.c:184	beacon payload 0x5587c8fdbd9f: protocol id 0, version 2, stack profile 1
14:01:45.528 0 zb_address.c:95	>>zb_address_add_pan_id short_pan_id 6969 pan_id 7.6.5.4.3.2.1.0 ref 0x7fffec5af1d4
14:01:45.528 0 zb_address.c:98	start search pan_id reference from h_i 1
14:01:45.528 0 zb_address.c:134	pan_id ref after find free place 0
14:01:45.528 0 zb_address.c:148	<<zb_address_add_pan_id 0
14:01:45.528 0 nwk_neighbor.c:373	>>exnb_by_short pan 0, addr 0, enbt 0x7fffec5af1d8
14:01:45.528 0 nwk_neighbor.c:387	try alloc
14:01:45.528 0 nwk_neighbor.c:443	>>alloc_new_extnb pan 0 addr 0 enbt 0x7fffec5af1d8
14:01:45.528 0 nwk_neighbor.c:455	allocated ext ent 0x5587c8fdc870 new used 1
